tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt13751694,movie,Animal,Animal,0,2023,\N,204,"Action,Crime,Drama",6.1,104518
tt1374992,movie,Upside Down,Upside Down,0,2012,\N,109,"Drama,Romance,Sci-Fi",6.3,74776
tt1374989,movie,Pride and Prejudice and Zombies,Pride and Prejudice and Zombies,0,2016,\N,108,"Action,Comedy,Fantasy",5.8,61913
tt1371150,movie,This Is Where I Leave You,This Is Where I Leave You,0,2014,\N,103,"Comedy,Drama",6.6,91490
tt1371111,movie,Cloud Atlas,Cloud Atlas,0,2012,\N,172,"Drama,Mystery,Sci-Fi",7.4,379752
tt13664684,movie,Karthikeya 2,Karthikeya 2,0,2022,\N,150,"Action,Adventure,Fantasy",7.9,64657
tt1366344,movie,The Sitter,The Sitter,0,2011,\N,81,Comedy,5.6,73431
tt1365519,movie,Tomb Raider,Tomb Raider,0,2018,\N,119,"Action,Adventure,Fantasy",6.3,233119
tt13651794,movie,May December,May December,0,2023,\N,117,Drama,6.8,67080
tt1365050,movie,Beasts of No Nation,Beasts of No Nation,0,2015,\N,137,"Drama,War",7.7,88668
tt13640696,movie,See How They Run,See How They Run,0,2022,\N,98,"Comedy,Crime,Mystery",6.5,68757
tt13622970,movie,Moana 2,Moana 2,0,2024,\N,100,"Adventure,Animation,Comedy",6.8,77248
tt1360860,movie,About Elly,Darbareye Elly,0,2009,\N,119,"Drama,Mystery",7.9,58704
tt13603966,movie,Heart of Stone,Heart of Stone,0,2023,\N,122,"Action,Crime,Thriller",5.7,64249
tt1355683,movie,Black Mass,Black Mass,0,2015,\N,123,"Biography,Crime,Drama",6.8,197000
tt1355644,movie,Passengers,Passengers,0,2016,\N,116,"Drama,Romance,Sci-Fi",7,469226
tt1355631,movie,The Infiltrator,The Infiltrator,0,2016,\N,127,"Biography,Crime,Drama",7,82017
tt1355630,movie,If I Stay,If I Stay,0,2014,\N,107,"Drama,Fantasy,Music",6.7,129648
tt1352824,movie,Chloe,Chloe,0,2009,\N,96,"Drama,Mystery,Thriller",6.3,79676
tt13524234,movie,Taylor Swift: Folklore: The Long Pond Studio Sessions,Taylor Swift: Folklore - The Long Pond Studio Sessions,0,2020,\N,105,"Documentary,Drama,Music",8.4,5330
tt13521006,movie,Beau Is Afraid,Beau Is Afraid,0,2023,\N,179,"Comedy,Drama,Horror",6.7,69612
tt1351685,movie,Jack the Giant Slayer,Jack the Giant Slayer,0,2013,\N,114,"Action,Adventure,Fantasy",6.3,150104
tt1345836,movie,The Dark Knight Rises,The Dark Knight Rises,0,2012,\N,164,"Action,Drama,Thriller",8.4,1893873
tt13452446,movie,Damsel,Damsel,0,2024,\N,110,"Action,Adventure,Fantasy",6.1,106601
tt1343727,movie,Dredd,Dredd,0,2012,\N,95,"Action,Crime,Sci-Fi",7.1,302354
tt13433802,movie,A Quiet Place: Day One,A Quiet Place: Day One,0,2024,\N,99,"Drama,Horror,Sci-Fi",6.3,141478
tt1343097,movie,The Girl Who Kicked the Hornet's Nest,Luftslottet som sprängdes,0,2009,\N,147,"Crime,Drama,Mystery",7.3,75700
tt1343092,movie,The Great Gatsby,The Great Gatsby,0,2013,\N,143,"Drama,Romance",7.2,616089
tt1341188,movie,How Do You Know,How Do You Know,0,2010,\N,121,"Comedy,Drama,Romance",5.4,55966
tt1341167,movie,Four Lions,Four Lions,0,2010,\N,97,"Comedy,Crime,Drama",7.3,87695
tt1340800,movie,Tinker Tailor Soldier Spy,Tinker Tailor Soldier Spy,0,2011,\N,127,"Drama,Mystery,Thriller",7,218323
tt1340138,movie,Terminator Genisys,Terminator Genisys,0,2015,\N,126,"Action,Adventure,Sci-Fi",6.3,298675
tt13391710,movie,Jana Gana Mana,Jana Gana Mana,0,2022,\N,162,"Drama,Thriller",8.3,18627
tt1336608,movie,Rock of Ages,Rock of Ages,0,2012,\N,123,"Comedy,Drama,Musical",5.9,82802
tt1335975,movie,47 Ronin,47 Ronin,0,2013,\N,128,"Action,Drama,Fantasy",6.2,174609
tt1334512,movie,Arthur,Arthur,0,2011,\N,110,"Comedy,Romance",5.7,53399
tt1334260,movie,Never Let Me Go,Never Let Me Go,0,2010,\N,103,"Drama,Romance",7.1,155983
tt1333125,movie,Movie 43,Movie 43,0,2013,\N,94,Comedy,4.4,115766
tt13327038,movie,Do Revenge,Do Revenge,0,2022,\N,118,"Comedy,Romance",6.3,53652
tt13320622,movie,The Lost City,The Lost City,0,2022,\N,112,"Action,Adventure,Comedy",6.1,168340
tt13314558,movie,Day Shift,Day Shift,0,2022,\N,113,"Action,Comedy,Fantasy",6.1,94202
tt13287846,movie,Napoleon,Napoleon,0,2023,\N,158,"Action,Adventure,Biography",6.3,168826
tt1327773,movie,The Butler,The Butler,0,2013,\N,132,"Biography,Drama",7.2,121439
tt13274016,movie,Reptile,Reptile,0,2023,\N,134,"Crime,Drama,Mystery",6.8,101360
tt1327194,movie,The Lucky One,The Lucky One,0,2012,\N,101,"Drama,Mystery,Romance",6.4,115833
tt1325004,movie,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,0,2010,\N,124,"Action,Adventure,Drama",5.1,268489
tt1324999,movie,The Twilight Saga: Breaking Dawn - Part 1,The Twilight Saga: Breaking Dawn - Part 1,0,2011,\N,117,"Adventure,Drama,Fantasy",4.9,261221
tt13238346,movie,Past Lives,Past Lives,0,2023,\N,105,"Drama,Romance",7.8,146043
tt1323594,movie,Despicable Me,Despicable Me,0,2010,\N,95,"Adventure,Animation,Comedy",7.6,604636
tt1322312,movie,Going the Distance,Going the Distance,0,2010,\N,102,"Comedy,Romance",6.3,60389
tt1322269,movie,August: Osage County,August: Osage County,0,2013,\N,121,"Comedy,Drama",7.2,97123
tt1321870,movie,Gangster Squad,Gangster Squad,0,2013,\N,113,"Action,Crime,Drama",6.7,225509
tt1321860,movie,The Beaver,The Beaver,0,2011,\N,91,Drama,6.6,51344
tt1321511,movie,Oldboy,Oldboy,0,2013,\N,104,"Action,Drama,Mystery",5.8,82501
tt1321510,movie,In the Heights,In the Heights,0,2021,\N,143,"Drama,Musical,Romance",7.2,53872
tt1321509,movie,Death at a Funeral,Death at a Funeral,0,2010,\N,92,"Comedy,Drama",5.7,55103
tt1320261,movie,Gulliver's Travels,Gulliver's Travels,0,2010,\N,85,"Adventure,Comedy,Family",4.9,75319
tt1320253,movie,The Expendables,The Expendables,0,2010,\N,103,"Action,Adventure,Thriller",6.4,371167
tt1318514,movie,Rise of the Planet of the Apes,Rise of the Planet of the Apes,0,2011,\N,105,"Action,Drama,Sci-Fi",7.6,589644
tt1315981,movie,A Single Man,A Single Man,0,2009,\N,99,"Drama,Romance,Thriller",7.5,119793
tt13143964,movie,Borat Subsequent Moviefilm,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,0,2020,\N,95,Comedy,6.6,158715
tt1313092,movie,Animal Kingdom,Animal Kingdom,0,2010,\N,113,"Crime,Drama,Thriller",7.2,61697
tt1308729,movie,Bullet to the Head,Bullet to the Head,0,2012,\N,92,"Action,Crime,Thriller",5.7,53191
tt1307068,movie,Seeking a Friend for the End of the World,Seeking a Friend for the End of the World,0,2012,\N,101,"Adventure,Comedy,Drama",6.7,120873
tt1306980,movie,50/50,50/50,0,2011,\N,100,"Comedy,Drama,Romance",7.6,347043
tt1305806,movie,The Secret in Their Eyes,El secreto de sus ojos,0,2009,\N,129,"Drama,Mystery,Romance",8.2,230362
tt13024674,movie,Army of Thieves,Army of Thieves,0,2021,\N,127,"Action,Comedy,Crime",6.4,93012
tt1302011,movie,Kung Fu Panda 2,Kung Fu Panda 2,0,2011,\N,90,"Action,Adventure,Animation",7.3,334968
tt1302006,movie,The Irishman,The Irishman,0,2019,\N,209,"Biography,Crime,Drama",7.8,448295
tt1300854,movie,Iron Man 3,Iron Man Three,0,2013,\N,130,"Action,Adventure,Sci-Fi",7.1,923969
